seed,spacing,hole_dist,in_hole,err_unguided,err_M20,err_force_ii,err_teacher_sign_tmag,benefit_force_ii,benefit_teacher_sign_tmag
42,0.053701,0.846564,0,2.4619,2.3864,2.3864,0.1202,0.0755,2.3417
42,0.1406,0.235554,0,0.5615,1.4921,3.3947,1.3109,-2.8332,-0.7494
42,0.148291,0.380857,0,1.1463,0.6782,0.2731,2.0523,0.8732,-0.906
42,0.128369,0.142332,0,6.4065,4.4435,6.5424,1.9671,-0.1359,4.4394
42,0.120034,0.574267,0,5.9034,7.0963,7.7456,6.9755,-1.8422,-1.0721
42,0.191096,0.612988,0,0.1841,0.8485,0.5616,0.2236,-0.3775,-0.0395
42,0.299054,0.932874,0,13.6594,12.6326,13.0705,11.8927,0.5889,1.7667
42,0.195609,0.634309,0,0.0842,0.5372,2.5002,1.9566,-2.416,-1.8724
42,0.085853,0.336428,0,3.5277,2.365,0.0057,1.9271,3.522,1.6006
42,0.372776,0.107603,1,1.4831,2.6694,0.0269,0.7583,1.4562,0.7248
42,0.181415,0.25945,0,0.2629,1.5642,0.5223,0.5072,-0.2594,-0.2443
42,0.147775,0.259526,0,5.0932,1.5296,4.8365,8.234,0.2567,-3.1408
42,0.195169,0.131998,1,3.4793,2.4827,5.0346,4.491,-1.5553,-1.0117
42,0.129144,0.436891,0,10.3106,7.5473,9.0875,9.7217,1.2231,0.5889
42,0.120093,0.559183,0,7.0129,5.7898,5.971,4.6875,1.0419,2.3254
42,0.171833,1.345335,0,8.3588,7.9058,8.238,7.4226,0.1208,0.9362
42,0.180267,0.494938,0,1.0679,1.5511,0.0562,2.4118,1.0117,-1.3439
42,0.253392,0.158329,1,0.9578,0.8974,0.0216,2.5735,0.9362,-1.6157
42,0.17401,0.243595,0,2.8033,1.4594,1.3386,1.852,1.4647,0.9513
42,0.174999,0.105871,1,3.5353,4.7735,5.7248,3.9128,-2.1895,-0.3775
42,0.225057,0.178152,1,10.6727,9.1778,9.0419,8.5587,1.6308,2.114
42,0.280403,1.01177,0,4.427,4.6233,5.8011,4.5327,-1.3741,-0.1057
42,0.354681,0.094957,1,0.0792,3.4012,3.5371,2.0875,-3.4579,-2.0083
42,0.358228,0.047836,1,5.237,6.5205,5.6598,2.67,-0.4228,2.567
42,0.089976,0.312568,0,5.0025,4.9723,3.8549,4.021,1.1476,0.9815
42,0.138935,0.577138,0,4.2238,1.8917,1.6417,2.9705,2.5821,1.2533
42,0.078402,0.786966,0,9.0505,6.861,6.7704,8.8542,2.2801,0.1963
42,0.622672,0.206676,1,4.9425,5.471,4.7613,3.9006,0.1812,1.0419
42,0.127041,0.278234,0,1.6302,3.1716,0.3165,1.2527,1.3137,0.3775
42,0.152282,0.844714,0,7.6312,6.5591,5.6833,6.9064,1.9479,0.7248
42,0.077709,1.170006,0,7.6679,5.267,6.2938,5.7955,1.3741,1.8724
42,0.06995,0.881005,0,4.4407,5.1353,3.2629,5.09,1.1778,-0.6493
42,0.292553,0.038959,1,0.8144,1.0127,0.5295,2.1603,0.2849,-1.3459
42,0.652311,0.1711,1,8.7938,8.9599,5.7587,7.1932,3.0351,1.6006
42,0.092016,1.129943,0,5.3975,3.9177,5.5032,5.473,-0.1057,-0.0755
42,0.084527,0.552131,0,10.2887,8.8995,7.6009,9.3072,2.6878,0.9815
42,0.040225,0.599075,0,9.7316,7.0891,8.4179,10.3054,1.3137,-0.5738
42,0.529997,0.040191,1,1.2562,0.1934,1.6035,0.2143,-0.3473,1.0419
42,0.004425,0.312379,0,0.0889,0.1376,0.0168,1.614,0.0721,-1.5251
42,0.064101,0.840133,0,4.1329,5.8694,5.4617,4.1329,-1.3288,0.0
