mode,eff,predictor,n,spearman,spearman_p,pearson
teacher_sign_tmag,beat_m00,spc_err_nn_k1,10,-0.438,0.206,-0.719
teacher_sign_tmag,beat_m00,var_err_strength,10,-0.394,0.26,-0.772
teacher_sign_tmag,beat_m00,teacher_edge,10,-0.164,0.651,-1.0
sameside_tmag,eff_raw,n,10,-0.231,0.521,-0.452
sameside_tmag,eff_raw,d,10,0.147,0.686,-0.208
sameside_tmag,eff_raw,spread,10,0.377,0.283,0.259
sameside_tmag,eff_raw,nn1_mean,10,0.389,0.266,0.187
sameside_tmag,eff_raw,knn5_mean,10,0.353,0.318,0.22
sameside_tmag,eff_raw,knn5_median,10,0.401,0.25,0.284
sameside_tmag,eff_raw,het_global_cv,10,-0.486,0.154,0.054
sameside_tmag,eff_raw,knn_cv_mean,10,0.28,0.434,0.181
sameside_tmag,eff_raw,norm_entropy,10,0.316,0.374,0.282
sameside_tmag,eff_raw,min_pairwise,10,-0.037,0.919,0.132
sameside_tmag,eff_raw,spc_err_strength,10,-0.2,0.58,-0.587
sameside_tmag,eff_raw,spc_err_nn_k1,10,-0.28,0.434,-0.719
sameside_tmag,eff_raw,var_err_strength,10,-0.297,0.405,-0.772
sameside_tmag,eff_raw,teacher_edge,10,-0.103,0.777,-1.0
sameside_tmag,eff_norm,n,10,-0.055,0.881,-0.156
sameside_tmag,eff_norm,d,10,-0.006,0.987,-0.097
sameside_tmag,eff_norm,spread,10,0.018,0.96,0.077
sameside_tmag,eff_norm,nn1_mean,10,-0.055,0.881,-0.174
sameside_tmag,eff_norm,knn5_mean,10,-0.152,0.675,-0.144
sameside_tmag,eff_norm,knn5_median,10,-0.079,0.828,-0.073
sameside_tmag,eff_norm,het_global_cv,10,-0.419,0.228,-0.138
sameside_tmag,eff_norm,knn_cv_mean,10,0.48,0.16,0.02
sameside_tmag,eff_norm,norm_entropy,10,0.188,0.602,0.291
sameside_tmag,eff_norm,min_pairwise,10,-0.363,0.302,-0.183
sameside_tmag,eff_norm,spc_err_strength,10,-0.091,0.803,-0.097
sameside_tmag,eff_norm,spc_err_nn_k1,10,-0.298,0.403,-0.089
sameside_tmag,eff_norm,var_err_strength,10,-0.176,0.627,-0.358
sameside_tmag,eff_norm,teacher_edge,10,0.067,0.855,-0.38
sameside_tmag,eff_winrate,n,10,0.038,0.918,-0.036
sameside_tmag,eff_winrate,d,10,0.025,0.945,-0.139
sameside_tmag,eff_winrate,spread,10,0.063,0.864,0.075
sameside_tmag,eff_winrate,nn1_mean,10,0.0,1.0,-0.207
sameside_tmag,eff_winrate,knn5_mean,10,-0.113,0.757,-0.151
sameside_tmag,eff_winrate,knn5_median,10,-0.031,0.932,-0.074
sameside_tmag,eff_winrate,het_global_cv,10,-0.306,0.389,0.019
sameside_tmag,eff_winrate,knn_cv_mean,10,0.544,0.104,0.203
sameside_tmag,eff_winrate,norm_entropy,10,0.038,0.918,0.131
sameside_tmag,eff_winrate,min_pairwise,10,-0.316,0.373,-0.24
sameside_tmag,eff_winrate,spc_err_strength,10,-0.293,0.411,-0.28
sameside_tmag,eff_winrate,spc_err_nn_k1,10,-0.175,0.629,-0.15
sameside_tmag,eff_winrate,var_err_strength,10,-0.362,0.305,-0.496
sameside_tmag,eff_winrate,teacher_edge,10,-0.075,0.837,-0.421
sameside_tmag,beat_m00,n,10,-0.334,0.345,-0.452
sameside_tmag,beat_m00,d,10,0.043,0.907,-0.208
sameside_tmag,beat_m00,spread,10,0.201,0.578,0.259
sameside_tmag,beat_m00,nn1_mean,10,0.201,0.578,0.187
sameside_tmag,beat_m00,knn5_mean,10,0.176,0.626,0.22
sameside_tmag,beat_m00,knn5_median,10,0.225,0.532,0.284
sameside_tmag,beat_m00,het_global_cv,10,-0.383,0.275,0.054
sameside_tmag,beat_m00,knn_cv_mean,10,-0.091,0.802,0.181
sameside_tmag,beat_m00,norm_entropy,10,0.225,0.532,0.282
sameside_tmag,beat_m00,min_pairwise,10,-0.166,0.646,0.132
sameside_tmag,beat_m00,spc_err_strength,10,0.055,0.881,-0.587
sameside_tmag,beat_m00,spc_err_nn_k1,10,-0.498,0.143,-0.719
sameside_tmag,beat_m00,var_err_strength,10,-0.261,0.467,-0.772
sameside_tmag,beat_m00,teacher_edge,10,0.006,0.987,-1.0
